"data";"novos.casos";"casos.acumulados";"obitos.novos";"obitos.acumulados"
"25/02/2020";0;0;0;0
"26/02/2020";1;1;0;0
"27/02/2020";0;1;0;0
"28/02/2020";0;1;0;0
"29/02/2020";1;2;0;0
"01/03/2020";0;2;0;0
"02/03/2020";0;2;0;0
"03/03/2020";0;2;0;0
"04/03/2020";1;3;0;0
"05/03/2020";4;7;0;0
"06/03/2020";6;13;0;0
"07/03/2020";6;19;0;0
"08/03/2020";6;25;0;0
"09/03/2020";0;25;0;0
"10/03/2020";9;34;0;0
"11/03/2020";18;52;0;0
"12/03/2020";25;77;0;0
"13/03/2020";21;98;0;0
"14/03/2020";23;121;0;0
"15/03/2020";79;200;0;0
"16/03/2020";34;234;0;0
"17/03/2020";57;291;1;1
"18/03/2020";137;428;3;4
"19/03/2020";193;621;2;6
"20/03/2020";283;904;5;11
"21/03/2020";224;1128;7;18
"22/03/2020";418;1546;7;25
"23/03/2020";345;1891;9;34
"24/03/2020";310;2201;12;46
"25/03/2020";232;2433;11;57
"26/03/2020";482;2915;20;77
"27/03/2020";502;3417;15;92
"28/03/2020";486;3903;22;114
"29/03/2020";353;4256;22;136
"30/03/2020";323;4579;23;159
"31/03/2020";1138;5717;42;201
"01/04/2020";1117;6834;40;241
"02/04/2020";1076;7910;58;299
"03/04/2020";1146;9056;60;359
"04/04/2020";1222;10278;73;432
"05/04/2020";852;11130;54;486
"06/04/2020";926;12056;67;553
"07/04/2020";1661;13717;114;667
"08/04/2020";2210;15927;133;800
"09/04/2020";1930;17857;141;941
"10/04/2020";1781;19638;115;1056
"11/04/2020";1089;20727;68;1124
"12/04/2020";1442;22169;99;1223
"13/04/2020";1261;23430;105;1328
"14/04/2020";1832;25262;204;1532
"15/04/2020";3058;28320;204;1736
"16/04/2020";2105;30425;188;1924
"17/04/2020";3257;33682;217;2141
"18/04/2020";2917;36599;206;2347
"19/04/2020";2055;38654;115;2462
"20/04/2020";1927;40581;113;2575
"21/04/2020";2498;43079;166;2741
"22/04/2020";2678;45757;165;2906
"23/04/2020";3735;49492;407;3313
"24/04/2020";3503;52995;357;3670
"25/04/2020";5514;58509;346;4016
"26/04/2020";3379;61888;189;4205
"27/04/2020";4613;66501;338;4543
"28/04/2020";5385;71886;474;5017
"29/04/2020";6276;78162;449;5466
"30/04/2020";7218;85380;435;5901
"01/05/2020";5919;91299;428;6329
"02/05/2020";5097;96396;395;6724
"03/05/2020";4751;101147;301;7025
"04/05/2020";6633;107780;296;7321
"05/05/2020";6935;114715;600;7921
"06/05/2020";10503;125218;614;8535
"07/05/2020";9888;135106;611;9146
"08/05/2020";10222;145328;749;9895
"09/05/2020";10611;155939;732;10627
"10/05/2020";6760;162699;496;11123
"11/05/2020";5632;168331;396;11519
"12/05/2020";9258;177589;881;12400
"13/05/2020";11385;188974;749;13149
"14/05/2020";13944;202918;844;13993
"15/05/2020";15305;218223;824;14817
"16/05/2020";14919;233142;816;15633
"17/05/2020";7938;241080;485;16118
"18/05/2020";13140;254220;674;16792
"19/05/2020";17408;271628;1179;17971
"20/05/2020";19951;291579;888;18859
"21/05/2020";18508;310087;1188;20047
"22/05/2020";20803;330890;999;21046
"23/05/2020";16508;347398;967;22013
"24/05/2020";15813;363211;653;22666
"25/05/2020";11687;374898;807;23473
"26/05/2020";16324;391222;1039;24512
"27/05/2020";20599;411821;1086;25598
"28/05/2020";26417;438238;1156;26754
"29/05/2020";26928;465166;1124;27878
"30/05/2020";33274;498440;956;28834
"31/05/2020";15760;514200;480;29314
"01/06/2020";12247;526447;623;29937
"02/06/2020";28936;555383;1262;31199
"03/06/2020";28633;584016;1349;32548
"04/06/2020";30925;614941;1473;34021
"05/06/2020";30830;;1005;
"06/06/2021";27.075;;904;
