"regiao";"estado";"data";"novos.casos";"casos.acumulados";"obitos.novos";"obitos.acumulados"
"Norte";"RO";"25/02/2020";0;0;0;0
"Norte";"RO";"26/02/2020";0;0;0;0
"Norte";"RO";"27/02/2020";0;0;0;0
"Norte";"RO";"28/02/2020";0;0;0;0
"Norte";"RO";"29/02/2020";0;0;0;0
"Norte";"RO";"01/03/2020";0;0;0;0
"Norte";"RO";"02/03/2020";0;0;0;0
"Norte";"RO";"03/03/2020";0;0;0;0
"Norte";"RO";"04/03/2020";0;0;0;0
"Norte";"RO";"05/03/2020";0;0;0;0
"Norte";"RO";"06/03/2020";0;0;0;0
"Norte";"RO";"07/03/2020";0;0;0;0
"Norte";"RO";"08/03/2020";0;0;0;0
"Norte";"RO";"09/03/2020";0;0;0;0
"Norte";"RO";"10/03/2020";0;0;0;0
"Norte";"RO";"11/03/2020";0;0;0;0
"Norte";"RO";"12/03/2020";0;0;0;0
"Norte";"RO";"13/03/2020";0;0;0;0
"Norte";"RO";"14/03/2020";0;0;0;0
"Norte";"RO";"15/03/2020";0;0;0;0
"Norte";"RO";"16/03/2020";0;0;0;0
"Norte";"RO";"17/03/2020";0;0;0;0
"Norte";"RO";"18/03/2020";0;0;0;0
"Norte";"RO";"19/03/2020";0;0;0;0
"Norte";"RO";"20/03/2020";1;1;0;0
"Norte";"RO";"21/03/2020";0;1;0;0
"Norte";"RO";"22/03/2020";2;3;0;0
"Norte";"RO";"23/03/2020";0;3;0;0
"Norte";"RO";"24/03/2020";0;3;0;0
"Norte";"RO";"25/03/2020";2;5;0;0
"Norte";"RO";"26/03/2020";0;5;0;0
"Norte";"RO";"27/03/2020";1;6;0;0
"Norte";"RO";"28/03/2020";0;6;0;0
"Norte";"RO";"29/03/2020";0;6;0;0
"Norte";"RO";"30/03/2020";0;6;0;0
"Norte";"RO";"31/03/2020";2;8;1;1
"Norte";"RO";"01/04/2020";1;9;0;1
"Norte";"RO";"02/04/2020";1;10;0;1
"Norte";"RO";"03/04/2020";0;10;0;1
"Norte";"RO";"04/04/2020";1;11;0;1
"Norte";"RO";"05/04/2020";1;12;0;1
"Norte";"RO";"06/04/2020";2;14;0;1
"Norte";"RO";"07/04/2020";4;18;0;1
"Norte";"RO";"08/04/2020";0;18;0;1
"Norte";"RO";"09/04/2020";10;28;1;2
"Norte";"RO";"10/04/2020";4;32;0;2
"Norte";"RO";"11/04/2020";1;33;0;2
"Norte";"RO";"12/04/2020";2;35;0;2
"Norte";"RO";"13/04/2020";7;42;0;2
"Norte";"RO";"14/04/2020";22;64;0;2
"Norte";"RO";"15/04/2020";5;69;0;2
"Norte";"RO";"16/04/2020";7;76;1;3
"Norte";"RO";"17/04/2020";16;92;0;3
"Norte";"RO";"18/04/2020";18;110;0;3
"Norte";"RO";"19/04/2020";18;128;1;4
"Norte";"RO";"20/04/2020";32;160;0;4
"Norte";"RO";"21/04/2020";39;199;0;4
"Norte";"RO";"22/04/2020";24;223;1;5
"Norte";"RO";"23/04/2020";27;250;0;5
"Norte";"RO";"24/04/2020";40;290;0;5
"Norte";"RO";"25/04/2020";38;328;2;7
"Norte";"RO";"26/04/2020";36;364;3;10
"Norte";"RO";"27/04/2020";29;393;0;10
"Norte";"RO";"28/04/2020";20;413;1;11
"Norte";"RO";"29/04/2020";20;433;4;15
"Norte";"RO";"30/04/2020";69;502;1;16
"Norte";"RO";"01/05/2020";83;585;2;18
"Norte";"RO";"02/05/2020";68;653;5;23
